model_idx,loading_sbml_error,loading_jax_error,init_error,simu_error,model_name,species_names,genus_names,family_names,order_names,class_names,phylum_names,kingdom_names,superkingdom_names,n_species,n_parameters,n_compartments,n_reactions,n_raterules,n_assignmentrules,n_nodes,n_inputs_per_node,n_variables,n_constants,simu_time (T=10)
27,,,,,"Markevich2004 - MAPK double phosphorylation,  ordered Michaelis-Menton",['Xenopus laevis'],['Xenopus'],['Pipidae'],['Anura'],['Amphibia'],['Chordata'],['Metazoa'],['Eukaryota'],5,9,1,4,0,0,3,"[2, 4, 2]",0,12,0.658459424972534
28,,,,,Markevich2004_MAPK_phosphoRandomElementary,['Xenopus laevis'],['Xenopus'],['Pipidae'],['Anura'],['Amphibia'],['Chordata'],['Metazoa'],['Eukaryota'],16,27,1,17,0,0,16,"[4, 8, 2, 3, 2, 3, 2, 4, 2, 6, 2, 2, 2, 2, 2, 2]",0,28,0.812322616577148
29,,,,,Markevich2004_MAPK_phosphoRandomMM,['Xenopus laevis'],['Xenopus'],['Pipidae'],['Anura'],['Amphibia'],['Chordata'],['Metazoa'],['Eukaryota'],6,15,1,7,0,0,4,"[4, 3, 3, 4]",0,18,0.921867847442627
30,,,,,Markevich2004_MAPK_AllRandomElementary,['Xenopus laevis'],['Xenopus'],['Pipidae'],['Anura'],['Amphibia'],['Chordata'],['Metazoa'],['Eukaryota'],18,32,1,20,0,0,18,"[4, 8, 2, 4, 2, 4, 2, 4, 2, 8, 2, 2, 2, 2, 2, 2, 2, 2]",0,33,0.984551906585693
31,,,,,Markevich2004_MAPK_orderedMM2kinases,['Xenopus laevis'],['Xenopus'],['Pipidae'],['Anura'],['Amphibia'],['Chordata'],['Metazoa'],['Eukaryota'],6,9,1,4,0,0,3,"[2, 4, 2]",0,13,0.568437576293945
32,,,,NaN values,Kofahl2004_PheromonePathway,['Saccharomyces cerevisiae'],['Saccharomyces'],['Saccharomycetaceae'],['Saccharomycetales'],['Saccharomycetes'],['Ascomycota'],['Fungi'],['Eukaryota'],37,0,2,47,0,0,37,"[1, 3, 3, 3, 2, 3, 11, 3, 4, 4, 8, 8, 3, 10, 8, 3, 7, 4, 3, 3, 3, 3, 4, 4, 3, 2, 2, 2, 3, 1, 3, 6, 1, 2, 2, 2, 2]",0,49,
33,,,,,Brown2004 - NGF and EGF signaling,[],[],[],[],[],[],[],[],32,48,1,26,0,0,28,"[2, 2, 2, 2, 2, 2, 3, 3, 2, 2, 3, 3, 3, 3, 2, 2, 1, 1, 2, 2, 1, 1, 1, 1, 2, 2, 2, 2]",0,53,1.3724422454834
34,,New case: unkown Reaction variable: delay,,,,[],[],[],[],[],[],[],[],,,,,,,,,,,
35,,,,,Vilar2002_Oscillator,[],[],[],[],[],[],[],[],10,0,1,16,0,0,10,"[7, 4, 2, 4, 2, 2, 3, 2, 2, 3]",0,17,0.622912645339966
36,,,,Neg values,Tyson1999_CircClock,['Drosophila melanogaster'],['Drosophila'],['Drosophilidae'],['Diptera'],['Insecta'],['Arthropoda'],['Metazoa'],['Eukaryota'],3,1,2,5,0,0,3,"[5, 2, 3]",0,13,
37,,,,,"Marwan2003 - Genetics, regulatory hierarchy between genes",['Physarum polycephalum'],['Physarum'],['Physaraceae'],['Physariida'],['Eumycetozoa'],['Evosea'],[],['Eukaryota'],12,0,1,12,0,0,12,"[2, 3, 2, 2, 1, 2, 3, 1, 1, 1, 2, 1]",0,13,0.746299028396606
38,,,,NaN values,Rohwer2000_Phosphotransferase_System,['Escherichia coli'],['Escherichia'],['Enterobacteriaceae'],['Enterobacterales'],['Gammaproteobacteria'],['Proteobacteria'],[],['Bacteria'],17,0,1,10,0,0,17,"[1, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 1]",0,21,
39,,,,,Marhl2000_CaOscillations,['Xenopus laevis'],['Xenopus'],['Pipidae'],['Anura'],['Amphibia'],['Chordata'],['Metazoa'],['Eukaryota'],5,0,3,7,0,0,5,"[0, 7, 0, 2, 2]",0,14,0.599470138549805
40,,,,NaN values,Field1974_Oregonator,[],[],[],[],[],[],[],[],5,1,1,5,0,0,5,"[3, 3, 5, 4, 2]",0,7,
41,,,,,Kongas2007 - Creatine Kinase in energy metabolic signaling in muscle,[],['Oryctolagus'],['Leporidae'],['Lagomorpha'],['Mammalia'],['Chordata'],['Metazoa'],['Eukaryota'],10,0,2,9,0,0,10,"[3, 2, 3, 2, 2, 3, 2, 2, 3, 2]",0,27,1.11608624458313
42,,,,,Nielsen1998_Glycolysis,['Saccharomyces cerevisiae'],['Saccharomyces'],['Saccharomycetaceae'],['Saccharomycetales'],['Saccharomycetes'],['Ascomycota'],['Fungi'],['Eukaryota'],15,25,1,25,0,0,15,"[6, 7, 3, 3, 2, 4, 3, 4, 3, 3, 3, 3, 2, 2, 2]",0,26,1.05920720100403
43,,,,Neg values,Borghans1997 - Calcium Oscillation - Model 1,[],['Rattus'],['Muridae'],['Rodentia'],['Mammalia'],['Chordata'],['Metazoa'],['Eukaryota'],5,3,3,7,0,0,5,"[2, 5, 3, 2, 2]",0,16,
44,,,,,Borghans1997 - Calcium Oscillation - Model 2,[],['Rattus'],['Muridae'],['Rodentia'],['Mammalia'],['Chordata'],['Metazoa'],['Eukaryota'],4,1,3,8,0,0,4,"[2, 5, 3, 3]",0,20,0.636462926864624
45,,,,Neg values,Borghans1997 - Calcium Oscillation - Model 3,[],['Rattus'],['Muridae'],['Rodentia'],['Mammalia'],['Chordata'],['Metazoa'],['Eukaryota'],4,1,4,8,0,0,4,"[2, 8, 3, 3]",0,19,
46,,,,Neg values,Olsen2003_peroxidase,['Armoracia rusticana'],['Armoracia'],['Brassicaceae'],['Brassicales'],['Magnoliopsida'],['Streptophyta'],['Viridiplantae'],['Eukaryota'],16,0,1,15,0,0,16,"[3, 6, 3, 4, 4, 3, 3, 3, 2, 6, 4, 3, 1, 2, 1, 2]",0,16,
47,,,,Neg values,Oxhamre2005_Ca_oscillation,[],['Rattus'],['Muridae'],['Rodentia'],['Mammalia'],['Chordata'],['Metazoa'],['Eukaryota'],2,13,2,3,1,3,3,"[3, 3, 0]",3,15,
48,,,,NaN values,Kholodenko1999 - EGFR signaling,['Rattus norvegicus'],['Rattus'],['Muridae'],['Rodentia'],['Mammalia'],['Chordata'],['Metazoa'],['Eukaryota'],23,0,1,25,0,0,23,"[1, 1, 3, 3, 10, 2, 2, 2, 3, 4, 2, 4, 2, 4, 2, 2, 4, 4, 3, 3, 3, 3, 1]",0,51,
49,,,,Neg values,Sasagawa2005_MAPK,[],['Rattus'],['Muridae'],['Rodentia'],['Mammalia'],['Chordata'],['Metazoa'],['Eukaryota'],99,0,2,150,0,0,97,"[1, 2, 1, 3, 2, 3, 2, 9, 3, 4, 7, 14, 7, 10, 4, 4, 3, 5, 9, 3, 2, 6, 4, 2, 2, 10, 3, 4, 2, 11, 8, 1, 1, 8, 3, 4, 2, 4, 5, 2, 2, 3, 2, 1, 1, 2, 5, 10, 4, 4, 10, 10, 6, 9, 5, 6, 9, 5, 5, 2, 5, 4, 1, 2, 2, 8, 7, 14, 4, 5, 4, 5, 4, 5, 4, 5, 4, 4, 3, 3, 1, 5, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 2, 2]",0,238,
50,,,,,Martins2003_AmadoriDegradation,[],[],[],[],[],[],[],[],14,0,1,16,0,0,14,"[3, 4, 3, 7, 5, 4, 2, 3, 2, 2, 3, 1, 1, 1]",0,17,0.755908012390137
51,,,,,Chassagnole2002_Carbon_Metabolism,['Escherichia coli'],['Escherichia'],['Enterobacteriaceae'],['Enterobacterales'],['Gammaproteobacteria'],['Proteobacteria'],[],['Bacteria'],18,7,2,48,0,7,18,"[2, 71, 69, 71, 7, 3, 3, 3, 8, 3, 4, 4, 4, 4, 3, 4, 3, 4]",7,137,2.65382838249207
52,,,,,Brands2002 - Monosaccharide-casein systems,[],[],[],[],[],[],[],[],11,0,1,11,0,0,11,"[4, 5, 2, 2, 3, 1, 2, 3, 3, 3, 1]",0,12,0.604104042053223
53,,,,,Ferreira2003_CML_generation2,[],[],[],[],[],[],[],[],6,2,1,12,0,2,6,"[4, 3, 6, 3, 4, 3]",2,30,0.818445682525635
54,,,,,Ataullahkhanov1996_Adenylate,['Homo sapiens'],['Homo'],['Hominidae'],['Primates'],['Mammalia'],['Chordata'],['Metazoa'],['Eukaryota'],3,10,1,5,0,2,3,"[4, 3, 1]",2,9,0.55980372428894
55,,New case: unkown Reaction variable: ceil,,,,[],[],[],[],[],[],[],[],,,,,,,,,,,
56,,Events are not handled,,,,[],[],[],[],[],[],[],[],,,,,,,,,,,
57,,,,,Sneyd2002_IP3_Receptor,['Rattus rattus'],['Rattus'],['Muridae'],['Rodentia'],['Mammalia'],['Chordata'],['Metazoa'],['Eukaryota'],6,27,1,5,0,8,6,"[2, 3, 1, 1, 2, 1]",8,26,0.686391353607178
58,,,,,Bindschadler2001_coupled_Ca_oscillators,['Rattus norvegicus'],['Rattus'],['Muridae'],['Rodentia'],['Mammalia'],['Chordata'],['Metazoa'],['Eukaryota'],4,16,1,11,0,8,4,"[4, 2, 4, 2]",8,22,0.813203573226929
59,,,Neg values,,Fridlyand2003_Calcium_flux,['Mus musculus'],['Mus'],['Muridae'],['Rodentia'],['Mammalia'],['Chordata'],['Metazoa'],['Eukaryota'],6,97,2,18,2,35,7,"[4, 0, 2, 4, 6, 0, 0]",35,63,
60,,,,,Keizer1996_Ryanodine_receptor_adaptation,[],[],[],[],[],[],[],[],4,1,1,3,0,1,4,"[3, 1, 1, 1]",1,11,0.483435869216919
61,,,,NaN values,Hynne2001_Glycolysis,['Saccharomyces cerevisiae'],['Saccharomyces'],['Saccharomycetaceae'],['Saccharomycetales'],['Saccharomycetes'],['Ascomycota'],['Fungi'],['Eukaryota'],25,0,2,24,0,0,25,"[1, 2, 60, 7, 3, 8, 2, 2, 3, 3, 3, 3, 2, 2, 2, 61, 60, 2, 4, 60, 2, 3, 2, 1, 1]",0,71,
62,,,,,Bhartiya2003_Tryptophan_operon,['Escherichia coli'],['Escherichia'],['Enterobacteriaceae'],['Enterobacterales'],['Gammaproteobacteria'],['Proteobacteria'],[],['Bacteria'],4,8,1,5,0,6,2,"[2, 3]",6,15,0.578754425048828
63,,New case: unkown Reaction variable: Vhk,,,,[],[],[],[],[],[],[],[],,,,,,,,,,,
64,,Custom functions are not handled,,,,[],[],[],[],[],[],[],[],,,,,,,,,,,
65,,,,,Yildirim2003_Lac_Operon,['Escherichia coli'],['Escherichia'],['Enterobacteriaceae'],['Enterobacterales'],['Gammaproteobacteria'],['Proteobacteria'],[],['Bacteria'],9,23,1,16,0,0,8,"[3, 2, 2, 2, 3, 4, 2, 2]",0,25,0.80555272102356
66,,,,,Chassagnole2001_Threonine Synthesis,['Escherichia coli'],['Escherichia'],['Enterobacteriaceae'],['Enterobacterales'],['Gammaproteobacteria'],['Proteobacteria'],[],['Bacteria'],11,0,1,7,0,0,11,"[3, 1, 2, 3, 3, 3, 3, 2, 2, 2, 1]",0,48,1.12697911262512
67,,,,,Fung2005_Metabolic_Oscillator,['Escherichia coli'],['Escherichia'],['Enterobacteriaceae'],['Enterobacterales'],['Gammaproteobacteria'],['Proteobacteria'],[],['Bacteria'],8,21,1,13,0,0,8,"[4, 2, 1, 2, 3, 2, 2, 2]",0,22,0.734201431274414
68,,,,Neg values,Curien2003_MetThr_synthesis,['Arabidopsis thaliana'],['Arabidopsis'],['Brassicaceae'],['Brassicales'],['Magnoliopsida'],['Streptophyta'],['Viridiplantae'],['Eukaryota'],9,0,1,3,0,0,6,"[1, 3, 1, 1, 2, 1]",0,10,
69,,,,,Fuss2006_MitoticActivation,['Homo sapiens'],['Homo'],['Hominidae'],['Primates'],['Mammalia'],['Chordata'],['Metazoa'],['Eukaryota'],10,20,1,7,0,2,10,"[2, 2, 2, 2, 1, 2, 1, 1, 1, 1]",2,19,0.682524681091309
70,,,,NaN values,Holzhutter2004_Erythrocyte_Metabolism,['Homo sapiens'],['Homo'],['Hominidae'],['Primates'],['Mammalia'],['Chordata'],['Metazoa'],['Eukaryota'],45,0,1,38,0,0,45,"[1, 2, 8, 3, 7, 4, 2, 6, 2, 4, 2, 2, 3, 3, 3, 2, 2, 4, 3, 6, 6, 2, 2, 2, 3, 2, 4, 3, 3, 2, 2, 2, 1, 1, 1, 1, 4, 1, 1, 1, 2, 1, 1, 2, 1]",0,167,
71,,,,NaN values,Bakker2001_Glycolysis,['Trypanosoma brucei'],['Trypanosoma'],['Trypanosomatidae'],['Trypanosomatida'],['Kinetoplastea'],['Euglenozoa'],[],['Eukaryota'],27,12,4,14,0,13,17,"[1, 2, 4, 2, 2, 2, 3, 4, 2, 2, 2, 3, 2, 1, 2, 2, 1]",13,74,
72,,,,,Yi2003_GproteinCycle,['Saccharomyces cerevisiae'],['Saccharomyces'],['Saccharomycetaceae'],['Saccharomycetales'],['Saccharomycetes'],['Ascomycota'],['Fungi'],['Eukaryota'],7,0,1,7,0,0,7,"[1, 3, 2, 2, 2, 2, 2]",0,9,0.554916858673096
73,,Custom functions are not handled,,,,[],[],[],[],[],[],[],[],,,,,,,,,,,
74,,Custom functions are not handled,,,,[],[],[],[],[],[],[],[],,,,,,,,,,,
75,,Custom functions are not handled,,,,[],[],[],[],[],[],[],[],,,,,,,,,,,
76,,,,Neg values,Cronwright2002_Glycerol_Synthesis,['Saccharomyces cerevisiae'],['Saccharomyces'],['Saccharomycetaceae'],['Saccharomycetales'],['Saccharomycetes'],['Ascomycota'],['Fungi'],['Eukaryota'],3,0,1,2,0,0,3,"[1, 2, 1]",0,19,
77,,Events are not handled,,,,[],[],[],[],[],[],[],[],,,,,,,,,,,
78,,Custom functions are not handled,,,,[],[],[],[],[],[],[],[],,,,,,,,,,,
79,,Custom functions are not handled,,,,[],[],[],[],[],[],[],[],,,,,,,,,,,
80,,,,NaN values,Thomsen1989_AdenylateCyclase,['Homo sapiens'],['Homo'],['Hominidae'],['Primates'],['Mammalia'],['Chordata'],['Metazoa'],['Eukaryota'],10,0,1,6,0,0,10,"[1, 1, 3, 2, 2, 1, 2, 1, 2, 2]",0,11,
81,,Events are not handled,,,,[],[],[],[],[],[],[],[],,,,,,,,,,,
82,,,,NaN values,Thomsen1988_AdenylateCyclase_Inhibition,['Homo sapiens'],['Homo'],['Hominidae'],['Primates'],['Mammalia'],['Chordata'],['Metazoa'],['Eukaryota'],10,0,1,6,0,0,10,"[1, 1, 3, 2, 2, 1, 2, 1, 2, 2]",0,11,
83,,New case: unkown Reaction variable: ceil,,,,[],[],[],[],[],[],[],[],,,,,,,,,,,
84,,,,,Hornberg2005_ERKcascade,[],[],[],[],['Mammalia'],['Chordata'],['Metazoa'],['Eukaryota'],8,0,1,8,0,0,8,"[2, 2, 2, 2, 2, 2, 2, 2]",0,19,0.545401573181152
85,,,,NaN values,Maurya2005_GTPaseCycle_reducedOrder,[],[],[],[],[],[],[],[],17,2,1,17,0,2,17,"[2, 3, 4, 4, 4, 4, 2, 4, 3, 3, 2, 3, 3, 2, 3, 3, 2]",2,35,
86,,,,NaN values,Bornheimer2004_GTPaseCycle,[],[],[],[],[],[],[],[],17,2,1,24,0,2,17,"[4, 6, 4, 4, 4, 6, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",2,49,
87,,Events are not handled,,,,[],[],[],[],[],[],[],[],,,,,,,,,,,
88,,Events are not handled,,,,[],[],[],[],[],[],[],[],,,,,,,,,,,
89,,Custom functions are not handled,,,,[],[],[],[],[],[],[],[],,,,,,,,,,,
90,,,,Neg values,Wolf2001_Respiratory_Oscillations,['Saccharomyces cerevisiae'],['Saccharomyces'],['Saccharomycetaceae'],['Saccharomycetales'],['Saccharomycetes'],['Ascomycota'],['Fungi'],['Eukaryota'],26,28,3,21,0,4,26,"[1, 2, 1, 2, 4, 2, 1, 2, 3, 2, 3, 10, 3, 10, 3, 2, 3, 2, 2, 2, 3, 2, 3, 1, 2, 2]",4,31,
91,,,,NaN values,Proctor2005 - Actions of chaperones and their role in ageing,[],[],[],[],[],[],[],[],16,21,1,23,0,0,16,"[0, 3, 2, 7, 7, 3, 5, 5, 2, 8, 2, 4, 4, 2, 2, 1]",0,22,
92,,,,,Fuentes2005_ZymogenActivation,[],[],[],[],[],[],[],[],4,0,1,3,0,0,4,"[2, 2, 4, 2]",0,5,0.456681251525879
93,,,,Neg values,Yamada2003_JAK_STAT_pathway,['Mus musculus'],['Mus'],['Muridae'],['Rodentia'],['Mammalia'],['Chordata'],['Metazoa'],['Eukaryota'],34,0,2,46,0,0,34,"[2, 2, 2, 2, 4, 6, 7, 8, 5, 6, 1, 3, 8, 4, 4, 2, 2, 2, 3, 4, 4, 2, 3, 2, 2, 2, 2, 8, 4, 4, 5, 4, 5, 2]",0,74,
94,,LibSBML read error,,,,[],[],[],[],[],[],[],[],,,,,,,,,,,
95,,Events are not handled,,,,[],[],[],[],[],[],[],[],,,,,,,,,,,
96,,Events are not handled,,,,[],[],[],[],[],[],[],[],,,,,,,,,,,
97,,Events are not handled,,,,[],[],[],[],[],[],[],[],,,,,,,,,,,
98,,,,,Goldbeter1990_CalciumSpike_CICR,[],[],[],[],[],[],[],[],2,13,2,6,0,0,2,"[6, 3]",0,15,0.53718900680542
99,,,,,Laub1998_SpontaneousOscillations,[],['Dictyostelium'],['Dictyosteliaceae'],['Dictyosteliales'],['Eumycetozoa'],['Evosea'],[],['Eukaryota'],7,14,2,14,0,0,7,"[2, 2, 2, 2, 2, 2, 2]",0,16,0.77620792388916
100,,,,,Rozi2003_GlycogenPhosphorylase_Activation,[],[],[],[],[],[],[],[],5,30,3,10,0,0,5,"[2, 5, 3, 3, 2]",0,33,0.802447319030762
101,,Events are not handled,,,,[],[],[],[],[],[],[],[],,,,,,,,,,,
102,,,,,Legewie2006_apoptosis_WT,[],[],[],[],[],[],[],[],13,41,1,28,0,0,13,"[5, 4, 4, 5, 6, 6, 3, 3, 2, 4, 4, 3, 3]",0,42,1.13817882537842
103,,,,,Legewie2006_apoptosis_NC,[],[],[],[],[],[],[],[],17,49,1,42,0,0,17,"[7, 5, 5, 5, 10, 6, 4, 4, 6, 5, 5, 4, 4, 4, 5, 4, 3]",0,50,1.67007517814636
104,,Events are not handled,,,,[],[],[],[],[],[],[],[],,,,,,,,,,,
105,,,,Neg values,"Proctor2007 - Age related decline of proteolysis, ubiquitin-proteome system",[],[],[],[],[],[],[],['Eukaryota'],39,17,1,94,0,0,39,"[1, 3, 0, 16, 1, 1, 3, 3, 2, 44, 6, 2, 1, 9, 9, 15, 15, 16, 16, 16, 16, 16, 14, 0, 12, 4, 4, 4, 4, 3, 5, 1, 1, 1, 1, 1, 56, 1, 1]",0,18,
106,,,,Neg values,Yang2007_ArachidonicAcid,['Homo sapiens'],['Homo'],['Hominidae'],['Primates'],['Mammalia'],['Chordata'],['Metazoa'],['Eukaryota'],25,54,1,32,0,0,19,"[6, 3, 2, 2, 1, 3, 1, 2, 2, 3, 2, 3, 3, 1, 2, 1, 2, 4, 1]",0,61,
107,,,,,Novak1993 - Cell cycle M-phase control,[],[],[],[],['Amphibia'],['Chordata'],['Metazoa'],['Eukaryota'],14,36,1,23,0,10,14,"[3, 1, 6, 5, 5, 5, 2, 2, 2, 2, 2, 2, 2, 2]",10,32,0.997750997543335
108,,,,NaN values,Kowald2006_SOD,[],[],[],[],[],[],[],[],9,18,1,17,0,2,7,"[6, 4, 5, 5, 3, 6, 4]",2,19,
109,,Events are not handled,,,,[],[],[],[],[],[],[],[],,,,,,,,,,,
